id,fix_5,fix_7.5,fix_10,fix_12.5,fix_15,fix_17.5,fix_20,random_5,random_7.5,random_10,random_12.5,random_15,random_17.5,random_20
95,10,40,20,50,30,75,100,20,25,30,50,80,100,190
96,10,10,20,20,20,25,25,20,20,20,25,25,25,50
97,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
98,0,10,10,10,15,50,50,0,10,10,5,10,10,10
99,0,100,250,500,1000,1000,1000,0,50,200,200,1000,1000,1000
100,100,100,100,100,100,100,100,200,100,100,200,100,100,100
101,10,10,20,10,15,40,50,10,15,20,25,25,25,30
102,50,50,50,50,50,50,50,50,50,50,50,50,50,50
103,2,3,5,8,13,17,10,5,8,10,13,15,17,20
104,25,15,20,20,20,50,50,30,30,30,20,15,15,15
105,100,150,200,300,500,500,1000,100,200,200,600,225,700,700
106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,142,285,428,571,714,857,1000,142,285,428,571,714,857,1000
108,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,1000,1000,1000,1000
109,50,50,50,50,50,50,100,50,50,50,50,50,50,50
110,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
111,10,20,25,200,30,500,1000,10,100,85,200,1000,1000,1000
112,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
113,100,150,200,250,350,400,500,NA,NA,NA,NA,NA,NA,NA
114,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
115,100,500,750,300,400,900,1000,100,400,500,300,300,400,1000
116,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
117,60,60,60,60,60,60,60,60,60,60,60,60,60,60
118,100,150,100,200,250,300,400,10,50,100,100,100,200,300
119,1,1,2,2,2,2,3,1,1,2,2,5,5,10
120,1,1,2,2,2,3,3,3,4,4,4,4,5,5
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,100,250,400,350,500,750,600,100,500,400,500,500,400,300
123,0,30,30,30,30,30,40,10,20,30,30,30,30,40
124,100,100,100,100,100,100,150,100,100,100,100,100,100,100
125,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,3,3,4,6,10,5,10,10,10,10,15,20,10,10
128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,5,8,10,13,15,18,20,5,7,10,12,15,14,20
130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,10,100,200,200,450,500,500,1000,900,900,500,1000,500,1000
132,250,300,500,500,1000,1000,1000,500,600,150,750,1000,1000,1000
133,0,0,50,50,50,50,50,0,0,0,0,50,50,50
